timestamp,internal_temperature,internal_humidity,external_temperature,external_humidity
2023-02-01 00:00:00,19.2,46.0,5.0,72.0
2023-02-01 00:15:00,19.049999999999997,45.5,4.975,72.0
2023-02-01 00:30:00,18.9,45.0,4.95,72.0
2023-02-01 00:45:00,18.85,46.0,4.925000000000001,72.0
2023-02-01 01:00:00,18.8,47.0,4.9,72.0
2023-02-01 01:15:00,18.85,47.0,4.9,72.0
2023-02-01 01:30:00,18.9,47.0,4.9,72.0
2023-02-01 01:45:00,18.75,47.0,4.9,72.0
2023-02-01 02:00:00,18.6,47.0,4.9,72.0
2023-02-01 02:15:00,18.450000000000003,47.0,4.8500000000000005,72.5
2023-02-01 02:30:00,18.3,47.0,4.800000000000001,73.0
2023-02-01 02:45:00,18.15,47.0,4.75,73.5
2023-02-01 03:00:00,18.0,47.0,4.7,74.0
2023-02-01 03:15:00,17.9,47.0,4.6,74.5
2023-02-01 03:30:00,17.8,47.0,4.5,75.0
2023-02-01 03:45:00,17.75,47.5,4.4,75.5
2023-02-01 04:00:00,17.7,48.0,4.3,76.0
2023-02-01 04:15:00,17.65,48.0,4.275,76.0
2023-02-01 04:30:00,17.6,48.0,4.25,76.0
2023-02-01 04:45:00,17.55,48.0,4.225,76.0
2023-02-01 05:00:00,17.5,48.0,4.2,76.0
2023-02-01 05:15:00,17.45,47.5,4.125,76.0
2023-02-01 05:30:00,17.4,47.0,4.05,76.0
2023-02-01 05:45:00,17.4,47.0,3.975,76.0
2023-02-01 06:00:00,17.4,47.0,3.9,76.0
2023-02-01 06:15:00,17.35,47.0,4.175,76.5
2023-02-01 06:30:00,17.3,47.0,4.45,77.0
2023-02-01 06:45:00,17.3,47.5,4.725,77.5
2023-02-01 07:00:00,17.3,48.0,5.0,78.0
2023-02-01 07:15:00,17.25,48.0,5.4,75.0
2023-02-01 07:30:00,17.2,48.0,5.8,72.0
2023-02-01 07:45:00,17.2,48.0,6.199999999999999,69.0
2023-02-01 08:00:00,17.2,48.0,6.6,66.0
2023-02-01 08:15:00,17.2,48.5,6.925,64.0
2023-02-01 08:30:00,17.2,49.0,7.25,62.0
2023-02-01 08:45:00,17.15,49.0,7.575,60.0
2023-02-01 09:00:00,17.1,49.0,7.9,58.0
2023-02-01 09:15:00,17.15,49.0,8.1,56.0
2023-02-01 09:30:00,17.2,49.0,8.3,54.0
2023-02-01 09:45:00,17.95,47.5,8.5,52.0
2023-02-01 10:00:00,18.7,46.0,8.7,50.0
2023-02-01 10:15:00,18.65,46.0,8.899999999999999,48.5
2023-02-01 10:30:00,18.6,46.0,9.1,47.0
2023-02-01 10:45:00,18.55,46.5,9.3,45.5
2023-02-01 11:00:00,18.5,47.0,9.5,44.0
2023-02-01 11:15:00,18.5,46.5,9.6,42.75
2023-02-01 11:30:00,18.5,46.0,9.7,41.5
2023-02-01 11:45:00,18.45,43.5,9.8,40.25
2023-02-01 12:00:00,18.4,41.0,9.9,39.0
2023-02-01 12:15:00,18.45,39.5,9.975,38.5
2023-02-01 12:30:00,18.5,38.0,10.05,38.0
2023-02-01 12:45:00,18.7,39.0,10.125,37.5
2023-02-01 13:00:00,18.9,40.0,10.2,37.0
2023-02-01 13:15:00,19.049999999999997,40.5,10.174999999999999,37.0
2023-02-01 13:30:00,19.2,41.0,10.149999999999999,37.0
2023-02-01 13:45:00,19.5,41.5,10.125,37.0
2023-02-01 14:00:00,19.8,42.0,10.1,37.0
2023-02-01 14:15:00,19.8,42.5,10.025,37.5
2023-02-01 14:30:00,19.8,43.0,9.95,38.0
2023-02-01 14:45:00,19.450000000000003,43.0,9.875,38.5
2023-02-01 15:00:00,19.1,43.0,9.8,39.0
2023-02-01 15:15:00,19.05,43.5,9.525,42.75
2023-02-01 15:30:00,19.0,44.0,9.25,46.5
2023-02-01 15:45:00,18.8,44.5,8.975,50.25
2023-02-01 16:00:00,18.6,45.0,8.7,54.0
2023-02-01 16:15:00,18.950000000000003,44.0,8.375,55.5
2023-02-01 16:30:00,19.3,43.0,8.05,57.0
2023-02-01 16:45:00,19.200000000000003,43.0,7.725,58.5
2023-02-01 17:00:00,19.1,43.0,7.4,60.0
2023-02-01 17:15:00,18.700000000000003,43.5,7.7,56.5
2023-02-01 17:30:00,18.3,44.0,8.0,53.0
2023-02-01 17:45:00,18.35,44.5,8.3,49.5
2023-02-01 18:00:00,18.4,45.0,8.6,46.0
2023-02-01 18:15:00,18.45,45.0,8.325,47.25
2023-02-01 18:30:00,18.5,45.0,8.05,48.5
2023-02-01 18:45:00,18.6,45.5,7.775,49.75
2023-02-01 19:00:00,18.7,46.0,7.5,51.0
2023-02-01 19:15:00,18.6,46.0,7.4,52.25
2023-02-01 19:30:00,18.5,46.0,7.3,53.5
2023-02-01 19:45:00,18.35,46.5,7.199999999999999,54.75
2023-02-01 20:00:00,18.2,47.0,7.1,56.0
2023-02-01 20:15:00,18.65,46.0,7.0249999999999995,57.25
2023-02-01 20:30:00,19.1,45.0,6.949999999999999,58.5
2023-02-01 20:45:00,18.9,45.0,6.875,59.75
2023-02-01 21:00:00,18.7,45.0,6.8,61.0
2023-02-01 21:15:00,19.2,44.5,6.775,61.5
2023-02-01 21:30:00,19.7,44.0,6.75,62.0
2023-02-01 21:45:00,19.85,44.0,6.725,62.5
2023-02-01 22:00:00,20.0,44.0,6.7,63.0
2023-02-01 22:15:00,19.75,44.5,6.7,63.0
2023-02-01 22:30:00,19.5,45.0,6.7,63.0
2023-02-01 22:45:00,19.35,45.0,6.7,63.0
2023-02-01 23:00:00,19.2,45.0,6.7,63.0
2023-02-01 23:15:00,19.4,44.5,6.5,63.75
2023-02-01 23:30:00,19.6,44.0,6.300000000000001,64.5
2023-02-01 23:45:00,19.4,44.0,6.1000000000000005,65.25
2023-02-02 00:00:00,19.2,44.0,5.9,66.0
2023-02-02 00:15:00,19.1,44.0,5.9750000000000005,65.75
2023-02-02 00:30:00,19.0,44.0,6.050000000000001,65.5
2023-02-02 00:45:00,18.95,43.5,6.125,65.25
2023-02-02 01:00:00,18.9,43.0,6.2,65.0
2023-02-02 01:15:00,18.799999999999997,43.0,6.2,65.25
2023-02-02 01:30:00,18.7,43.0,6.2,65.5
2023-02-02 01:45:00,18.65,43.0,6.2,65.75
2023-02-02 02:00:00,18.6,43.0,6.2,66.0
2023-02-02 02:15:00,18.55,43.0,6.175,66.25
2023-02-02 02:30:00,18.5,43.0,6.15,66.5
2023-02-02 02:45:00,18.45,43.0,6.125,66.75
2023-02-02 03:00:00,18.4,43.0,6.1,67.0
2023-02-02 03:15:00,18.4,43.0,6.05,67.25
2023-02-02 03:30:00,18.4,43.0,6.0,67.5
2023-02-02 03:45:00,18.35,43.5,5.95,67.75
2023-02-02 04:00:00,18.3,44.0,5.9,68.0
2023-02-02 04:15:00,18.200000000000003,44.0,5.875,68.25
2023-02-02 04:30:00,18.1,44.0,5.85,68.5
2023-02-02 04:45:00,17.950000000000003,44.5,5.825,68.75
2023-02-02 05:00:00,17.8,45.0,5.8,69.0
2023-02-02 05:15:00,17.700000000000003,45.0,5.75,69.5
2023-02-02 05:30:00,17.6,45.0,5.699999999999999,70.0
2023-02-02 05:45:00,17.55,45.5,5.6499999999999995,70.5
2023-02-02 06:00:00,17.5,46.0,5.6,71.0
2023-02-02 06:15:00,17.5,46.0,5.75,71.75
2023-02-02 06:30:00,17.5,46.0,5.9,72.5
2023-02-02 06:45:00,17.45,46.0,6.05,73.25
2023-02-02 07:00:00,17.4,46.0,6.2,74.0
2023-02-02 07:15:00,17.4,46.0,6.9750000000000005,72.25
2023-02-02 07:30:00,17.4,46.0,7.75,70.5
2023-02-02 07:45:00,17.35,46.0,8.525,68.75
2023-02-02 08:00:00,17.3,46.0,9.3,67.0
2023-02-02 08:15:00,17.3,46.0,9.700000000000001,64.25
2023-02-02 08:30:00,17.3,46.0,10.100000000000001,61.5
2023-02-02 08:45:00,17.55,44.0,10.5,58.75
2023-02-02 09:00:00,17.8,42.0,10.9,56.0
2023-02-02 09:15:00,18.25,42.5,11.15,55.25
2023-02-02 09:30:00,18.7,43.0,11.4,54.5
2023-02-02 09:45:00,19.35,43.0,11.65,53.75
2023-02-02 10:00:00,20.0,43.0,11.9,53.0
2023-02-02 10:15:00,20.15,43.0,12.1,52.25
2023-02-02 10:30:00,20.3,43.0,12.3,51.5
2023-02-02 10:45:00,20.0,43.5,12.5,50.75
2023-02-02 11:00:00,19.7,44.0,12.7,50.0
2023-02-02 11:15:00,19.65,44.5,12.85,49.5
2023-02-02 11:30:00,19.6,45.0,13.0,49.0
2023-02-02 11:45:00,19.25,45.5,13.15,48.5
2023-02-02 12:00:00,18.9,46.0,13.3,48.0
2023-02-02 12:15:00,18.75,46.5,13.4,48.0
2023-02-02 12:30:00,18.6,47.0,13.5,48.0
2023-02-02 12:45:00,18.8,47.0,13.6,48.0
2023-02-02 13:00:00,19.0,47.0,13.7,48.0
2023-02-02 13:15:00,19.1,47.5,13.674999999999999,48.25
2023-02-02 13:30:00,19.2,48.0,13.649999999999999,48.5
2023-02-02 13:45:00,19.0,49.5,13.625,48.75
2023-02-02 14:00:00,18.8,51.0,13.6,49.0
2023-02-02 14:15:00,18.75,51.5,13.5,49.75
2023-02-02 14:30:00,18.7,52.0,13.399999999999999,50.5
2023-02-02 14:45:00,18.799999999999997,52.0,13.299999999999999,51.25
2023-02-02 15:00:00,18.9,52.0,13.2,52.0
2023-02-02 15:15:00,18.9,51.5,12.799999999999999,56.25
2023-02-02 15:30:00,18.9,51.0,12.399999999999999,60.5
2023-02-02 15:45:00,18.95,51.0,12.0,64.75
2023-02-02 16:00:00,19.0,51.0,11.6,69.0
2023-02-02 16:15:00,18.7,52.0,11.2,70.0
2023-02-02 16:30:00,18.4,53.0,10.8,71.0
2023-02-02 16:45:00,18.35,53.0,10.4,72.0
